Fold,Model,RMSE,MAE
1,LSTM_i+1,28.838222745813926,22.912741714382765
1,LSTM_i+2,27.28752857471247,20.36334304335695
1,LSTM_i+3,29.919388092478243,23.67927086871603
1,LSTM_i+4,28.365003286073662,21.880222486413043
1,LSTM_i+5,24.362869423447012,18.979514554420614
2,LSTM_i+1,20.109582660275564,14.338074867769798
2,LSTM_i+2,25.523602730173316,19.79281104425466
2,LSTM_i+3,25.083811902455153,18.313650948660715
2,LSTM_i+4,24.764458095489623,17.781781498689828
2,LSTM_i+5,25.783929869628487,18.357241802334045
3,LSTM_i+1,45.70494249797287,32.734337106304764
3,LSTM_i+2,40.69047583106423,30.158724783420446
3,LSTM_i+3,42.994649382184946,29.567677768911516
3,LSTM_i+4,61.8305765776306,42.312817702432476
3,LSTM_i+5,42.02043146024715,31.9745464606817
4,LSTM_i+1,83.75022340802856,70.73984655534258
4,LSTM_i+2,116.85517021465753,96.34094579471565
4,LSTM_i+3,134.1883393528826,111.63908736898291
4,LSTM_i+4,107.74127137516462,81.4649013732531
4,LSTM_i+5,107.90164763955148,79.80593094914596
5,LSTM_i+1,42.507884510888864,31.474504364203224
5,LSTM_i+2,39.07221123692452,30.253170795322205
5,LSTM_i+3,43.93191447834773,32.21393239276009
5,LSTM_i+4,38.94441083124065,29.299983622864907
5,LSTM_i+5,43.35981809019236,32.75855022927989
